b1,b1_4,b1_6,b1_5,b1_2,b1_9,b1_7,b1_8,b1_11,b1_3,b1_15,b1_13,b1_18,b1_14,b1_10,b1_12
31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
